id,name,department,salary,join_date,status
1,Employee_1,Engineering,33158,2024-12-23,On Leave
2,Employee_2,Finance,101345,2024-05-27,Active
3,Employee_3,Engineering,68213,2020-09-28,Inactive
4,Employee_4,Marketing,96423,2023-01-14,
5,Employee_5,Engineering,,2022-12-06,On Leave
6,Employee_6,Engineering,46628,2020-04-21,Active
7,,Operations,66992,2021-03-28,Active
8,Employee_8,Finance,115092,2020-02-10,
9,Employee_9,HR,35955,2021-12-01,Inactive
10,Employee_10,HR,,2023-06-22,Inactive
11,Employee_11,Marketing,34009,2021-06-16,On Leave
12,Employee_12,Marketing,76504,2024-11-20,
13,Employee_13,Marketing,34783,2021-09-09,
14,,Finance,116486,2024-12-14,Active
15,Employee_15,Marketing,,2024-07-22,Inactive
16,Employee_16,Engineering,102766,2023-11-01,
17,Employee_17,,60610,2020-01-02,Inactive
18,Employee_18,,99666,2024-11-03,On Leave
19,Employee_19,Finance,112604,2022-01-19,
20,Employee_20,Operations,,2022-04-25,
21,,,41181,2021-12-10,
22,Employee_22,Operations,105393,2024-09-10,Active
23,Employee_23,Operations,65578,2023-01-27,Active
24,Employee_24,,89658,2020-04-02,
25,Employee_25,HR,,2021-02-22,Active
26,Employee_26,,46325,2021-12-22,
27,Employee_27,Operations,63083,2020-12-09,Active
28,,Operations,90216,2022-04-09,
29,Employee_29,,80440,2022-02-10,On Leave
30,Employee_30,Engineering,,2022-08-03,
31,Employee_31,Finance,78351,2023-11-10,Active
32,Employee_32,Marketing,82831,2023-10-03,On Leave
33,Employee_33,Operations,103283,2022-10-05,
34,Employee_34,Marketing,83891,2022-08-04,On Leave
35,,Finance,,2020-07-28,
1,Employee_1,Engineering,75000,2022-03-15,Active
